,HomeDaysRest,AwayDaysRest,ConferenceBinary,OpponentConferenceBinary,S2015,S2016,S2017,S2018,S2019,S2020,S2021,S2022,HomeQ3,AwayQ3,Avg_HOFFRATING,Avg_HDEFRATING,Avg_AOFFRATING,Avg_ADEFRATING
4627,2.0,3.0,0,0,0,0,0,0,1,0,0,0,71.0,87.0,108.26666666666667,104.93333333333334,112.83333333333333,114.96666666666665
4628,2.0,1.0,0,1,0,0,0,0,1,0,0,0,75.0,86.0,103.08333333333333,104.59999999999998,107.25,108.66666666666667
4629,2.0,2.0,0,1,0,0,0,0,1,0,0,0,78.0,92.0,101.01666666666667,103.80000000000001,108.75,105.83333333333333
4630,2.0,3.0,0,1,0,0,0,0,1,0,0,0,76.0,69.0,100.25,104.06666666666666,99.16666666666667,111.2333333333333
4631,2.0,1.0,0,0,0,0,0,0,1,0,0,0,75.0,86.0,101.66666666666667,103.78333333333335,105.36666666666666,112.86666666666667
4632,2.0,3.0,0,0,0,0,0,0,1,0,0,0,75.0,80.0,104.46666666666665,108.8,110.11666666666667,109.83333333333333
4633,2.0,2.0,0,0,0,0,0,0,1,0,0,0,94.0,78.0,103.61666666666667,110.83333333333333,103.43333333333334,108.75
4634,3.0,2.0,0,1,0,0,0,0,1,0,0,0,97.0,96.0,108.83333333333333,109.86666666666667,115.63333333333333,118.39999999999999
4635,2.0,2.0,0,0,0,0,0,0,1,0,0,0,80.0,93.0,110.89999999999999,108.71666666666665,113.2,104.43333333333334
4636,2.0,3.0,0,0,0,0,0,1,0,0,0,0,94.0,71.0,107.33333333333333,97.3,113.06666666666666,100.44999999999999
4637,2.0,4.0,0,1,0,0,0,1,0,0,0,0,77.0,73.0,107.31666666666666,97.75,107.98333333333333,110.75
4638,2.0,2.0,0,0,0,0,0,1,0,0,0,0,85.0,79.0,105.5,95.8,110.28333333333335,108.16666666666664
4639,2.0,2.0,0,0,0,0,0,1,0,0,0,0,76.0,73.0,106.58333333333333,98.93333333333334,102.08333333333333,102.09999999999998
4640,2.0,1.0,0,0,0,0,0,1,0,0,0,0,68.0,80.0,105.86666666666667,96.46666666666665,103.64999999999999,109.51666666666667
4641,2.0,2.0,0,1,0,0,0,1,0,0,0,0,74.0,92.0,103.85000000000001,96.28333333333332,107.7,113.10000000000001
4642,2.0,3.0,0,0,0,0,0,1,0,0,0,0,70.0,76.0,104.88333333333333,101.89999999999999,111.46666666666668,112.88333333333333
4643,2.0,2.0,0,0,0,0,0,1,0,0,0,0,87.0,60.0,104.8,104.35000000000001,103.76666666666667,110.88333333333333
4644,2.0,2.0,0,1,0,0,0,1,0,0,0,0,82.0,81.0,107.35000000000001,101.66666666666667,105.44999999999999,108.75
4645,2.0,3.0,0,0,0,0,0,1,0,0,0,0,88.0,88.0,108.06666666666666,102.60000000000001,120.26666666666665,101.71666666666665
