,ID,PTS,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,FT_PCT,FG_PCT
55,TOR2020-12-26,28.0,11.0,23.0,6.0,10.0,0.6,0.0,0.0,1.0,8.0,9.0,8.0,2.0,1.0,3.0,0.0,7.0,2.0,,0.4782608695652174
56,UTA2020-12-26,32.0,11.0,24.0,4.0,9.0,0.4444444444444444,6.0,9.0,2.0,9.0,11.0,3.0,3.0,3.0,1.0,1.0,5.0,6.0,0.6666666666666666,0.4583333333333333
57,WAS2020-12-26,29.0,12.0,23.0,2.0,10.0,0.2,3.0,7.0,1.0,7.0,8.0,7.0,2.0,1.0,1.0,0.0,7.0,3.0,0.4285714285714285,0.5217391304347826
58,BOS2020-12-27,24.0,10.0,21.0,0.0,4.0,0.0,4.0,6.0,3.0,11.0,14.0,2.0,4.0,4.0,2.0,2.0,5.0,5.0,0.6666666666666666,0.4761904761904761
59,BKN2020-12-27,27.0,9.0,19.0,5.0,10.0,0.5,4.0,7.0,1.0,8.0,9.0,6.0,3.0,2.0,0.0,1.0,6.0,7.0,0.5714285714285714,0.4736842105263157
60,CHA2020-12-27,24.0,9.0,21.0,4.0,9.0,0.4444444444444444,2.0,5.0,4.0,12.0,16.0,7.0,6.0,0.0,1.0,0.0,7.0,6.0,0.4,0.4285714285714285
61,CHI2020-12-27,31.0,9.0,18.0,3.0,10.0,0.3,10.0,14.0,2.0,9.0,11.0,4.0,4.0,1.0,1.0,0.0,6.0,9.0,0.7142857142857143,0.5
62,CLE2020-12-27,25.0,11.0,17.0,1.0,5.0,0.2,2.0,2.0,1.0,11.0,12.0,7.0,5.0,1.0,0.0,0.0,5.0,3.0,1.0,0.6470588235294118
63,DAL2020-12-27,20.0,7.0,19.0,0.0,6.0,0.0,6.0,8.0,4.0,11.0,15.0,4.0,3.0,4.0,0.0,1.0,2.0,4.0,0.75,0.3684210526315789
64,GSW2020-12-27,36.0,10.0,24.0,5.0,11.0,0.4545454545454545,11.0,11.0,5.0,7.0,12.0,5.0,2.0,3.0,0.0,1.0,9.0,6.0,1.0,0.4166666666666667
65,IND2020-12-27,20.0,9.0,21.0,1.0,6.0,0.1666666666666666,1.0,3.0,1.0,7.0,8.0,3.0,4.0,2.0,2.0,2.0,5.0,5.0,0.3333333333333333,0.4285714285714285
66,LAC2020-12-27,16.0,6.0,18.0,2.0,7.0,0.2857142857142857,2.0,2.0,0.0,8.0,8.0,5.0,5.0,2.0,1.0,0.0,4.0,2.0,1.0,0.3333333333333333
67,LAL2020-12-27,24.0,10.0,23.0,1.0,8.0,0.125,3.0,3.0,1.0,11.0,12.0,5.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,0.4347826086956521
68,MIL2020-12-27,35.0,13.0,23.0,2.0,7.0,0.2857142857142857,7.0,8.0,5.0,4.0,9.0,7.0,3.0,3.0,2.0,1.0,4.0,6.0,0.875,0.5652173913043478
69,MIN2020-12-27,24.0,10.0,23.0,2.0,6.0,0.3333333333333333,2.0,4.0,2.0,11.0,13.0,7.0,4.0,4.0,3.0,3.0,4.0,4.0,0.5,0.4347826086956521
70,NOP2020-12-27,19.0,7.0,21.0,0.0,4.0,0.0,5.0,10.0,3.0,12.0,15.0,2.0,4.0,1.0,2.0,4.0,4.0,7.0,0.5,0.3333333333333333
71,NYK2020-12-27,34.0,13.0,23.0,4.0,6.0,0.6666666666666666,4.0,4.0,4.0,6.0,10.0,7.0,5.0,1.0,1.0,2.0,6.0,4.0,1.0,0.5652173913043478
72,ORL2020-12-27,43.0,14.0,22.0,3.0,6.0,0.5,12.0,12.0,4.0,11.0,15.0,6.0,2.0,2.0,1.0,0.0,3.0,9.0,1.0,0.6363636363636364
73,PHI2020-12-27,22.0,9.0,20.0,3.0,11.0,0.2727272727272727,1.0,3.0,1.0,5.0,6.0,7.0,2.0,1.0,0.0,0.0,3.0,5.0,0.3333333333333333,0.45
74,PHX2020-12-27,26.0,12.0,24.0,2.0,8.0,0.25,0.0,1.0,1.0,9.0,10.0,8.0,1.0,3.0,0.0,1.0,6.0,4.0,0.0,0.5
75,SAC2020-12-27,22.0,8.0,17.0,3.0,8.0,0.375,3.0,6.0,0.0,10.0,10.0,7.0,3.0,0.0,1.0,0.0,4.0,6.0,0.5,0.4705882352941176
76,SAS2020-12-27,24.0,12.0,27.0,0.0,9.0,0.0,0.0,0.0,2.0,10.0,12.0,5.0,1.0,3.0,4.0,2.0,7.0,4.0,,0.4444444444444444
77,WAS2020-12-27,19.0,8.0,25.0,1.0,9.0,0.1111111111111111,2.0,2.0,4.0,4.0,8.0,4.0,5.0,1.0,0.0,1.0,9.0,3.0,1.0,0.32
78,ATL2020-12-28,28.0,7.0,22.0,2.0,8.0,0.25,12.0,12.0,4.0,8.0,12.0,5.0,3.0,3.0,1.0,2.0,4.0,8.0,1.0,0.3181818181818182
79,BKN2020-12-28,21.0,8.0,21.0,3.0,11.0,0.2727272727272727,2.0,2.0,3.0,8.0,11.0,3.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,0.3809523809523809
80,DEN2020-12-28,18.0,6.0,19.0,0.0,2.0,0.0,6.0,8.0,2.0,13.0,15.0,4.0,6.0,0.0,4.0,2.0,9.0,6.0,0.75,0.3157894736842105
81,DET2020-12-28,33.0,11.0,25.0,6.0,14.0,0.4285714285714285,5.0,5.0,5.0,10.0,15.0,7.0,4.0,2.0,2.0,1.0,8.0,4.0,1.0,0.44
82,HOU2020-12-28,28.0,9.0,24.0,4.0,13.0,0.3076923076923077,6.0,8.0,1.0,10.0,11.0,7.0,2.0,2.0,2.0,4.0,6.0,9.0,0.75,0.375
83,LAL2020-12-28,22.0,8.0,21.0,2.0,8.0,0.25,4.0,5.0,3.0,7.0,10.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,0.8,0.3809523809523809
84,MEM2020-12-28,19.0,8.0,18.0,1.0,7.0,0.1428571428571428,2.0,2.0,0.0,9.0,9.0,4.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,0.4444444444444444
85,OKC2020-12-28,22.0,9.0,22.0,4.0,9.0,0.4444444444444444,0.0,0.0,2.0,5.0,7.0,5.0,5.0,2.0,2.0,2.0,5.0,4.0,,0.4090909090909091
86,POR2020-12-28,31.0,12.0,24.0,5.0,12.0,0.4166666666666667,2.0,2.0,1.0,8.0,9.0,8.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,0.5
87,UTA2020-12-28,26.0,10.0,19.0,2.0,8.0,0.25,4.0,4.0,2.0,7.0,9.0,6.0,2.0,3.0,2.0,2.0,4.0,5.0,1.0,0.5263157894736842
88,BOS2020-12-29,33.0,10.0,18.0,1.0,3.0,0.3333333333333333,12.0,16.0,1.0,7.0,8.0,3.0,3.0,6.0,2.0,1.0,3.0,10.0,0.75,0.5555555555555556
89,CHI2020-12-29,32.0,11.0,17.0,4.0,8.0,0.5,6.0,8.0,0.0,7.0,7.0,8.0,6.0,1.0,0.0,0.0,9.0,7.0,0.75,0.6470588235294118
90,CLE2020-12-29,22.0,8.0,16.0,2.0,5.0,0.4,4.0,8.0,1.0,5.0,6.0,6.0,4.0,2.0,2.0,2.0,5.0,7.0,0.5,0.5
91,DEN2020-12-29,15.0,6.0,20.0,2.0,9.0,0.2222222222222222,1.0,1.0,2.0,11.0,13.0,2.0,7.0,0.0,2.0,2.0,6.0,2.0,1.0,0.3
92,DET2020-12-29,30.0,12.0,23.0,3.0,6.0,0.5,3.0,5.0,2.0,3.0,5.0,7.0,2.0,1.0,1.0,4.0,7.0,6.0,0.6,0.5217391304347826
93,GSW2020-12-29,39.0,12.0,18.0,5.0,7.0,0.7142857142857143,10.0,12.0,1.0,9.0,10.0,4.0,5.0,1.0,4.0,1.0,6.0,7.0,0.8333333333333334,0.6666666666666666
94,IND2020-12-29,17.0,7.0,19.0,0.0,6.0,0.0,3.0,4.0,1.0,8.0,9.0,3.0,7.0,3.0,1.0,2.0,10.0,3.0,0.75,0.3684210526315789
95,LAC2020-12-29,19.0,8.0,21.0,2.0,7.0,0.2857142857142857,1.0,2.0,1.0,7.0,8.0,4.0,4.0,2.0,2.0,2.0,7.0,3.0,0.5,0.3809523809523809
96,MIA2020-12-29,22.0,8.0,22.0,2.0,11.0,0.1818181818181818,4.0,6.0,2.0,8.0,10.0,7.0,3.0,0.0,4.0,0.0,4.0,9.0,0.6666666666666666,0.3636363636363636
97,MIL2020-12-29,29.0,10.0,21.0,5.0,10.0,0.5,4.0,4.0,3.0,9.0,12.0,4.0,3.0,1.0,0.0,4.0,9.0,4.0,1.0,0.4761904761904761
98,MIN2020-12-29,25.0,9.0,16.0,1.0,4.0,0.25,6.0,8.0,1.0,11.0,12.0,4.0,6.0,1.0,2.0,2.0,3.0,7.0,0.75,0.5625
99,NOP2020-12-29,25.0,10.0,21.0,1.0,5.0,0.2,4.0,7.0,2.0,13.0,15.0,5.0,3.0,3.0,2.0,1.0,2.0,6.0,0.5714285714285714,0.4761904761904761
100,NYK2020-12-29,24.0,10.0,19.0,4.0,6.0,0.6666666666666666,0.0,3.0,5.0,8.0,13.0,5.0,8.0,3.0,2.0,2.0,7.0,5.0,0.0,0.5263157894736842
101,OKC2020-12-29,22.0,8.0,17.0,2.0,8.0,0.25,4.0,13.0,1.0,9.0,10.0,4.0,4.0,0.0,4.0,0.0,5.0,9.0,0.3076923076923077,0.4705882352941176
102,ORL2020-12-29,31.0,14.0,28.0,1.0,6.0,0.1666666666666666,2.0,3.0,6.0,12.0,18.0,7.0,1.0,1.0,0.0,4.0,9.0,5.0,0.6666666666666666,0.5
103,PHI2020-12-29,24.0,7.0,17.0,2.0,7.0,0.2857142857142857,8.0,10.0,4.0,12.0,16.0,3.0,6.0,2.0,2.0,0.0,3.0,10.0,0.8,0.4117647058823529
104,PHX2020-12-29,11.0,4.0,21.0,2.0,9.0,0.2222222222222222,1.0,2.0,4.0,7.0,11.0,4.0,4.0,0.0,1.0,2.0,6.0,2.0,0.5,0.1904761904761904
105,SAC2020-12-29,29.0,12.0,27.0,4.0,10.0,0.4,1.0,1.0,3.0,11.0,14.0,9.0,1.0,4.0,2.0,2.0,2.0,6.0,1.0,0.4444444444444444
106,TOR2020-12-29,17.0,6.0,21.0,2.0,8.0,0.25,3.0,5.0,2.0,6.0,8.0,3.0,5.0,3.0,0.0,2.0,10.0,3.0,0.6,0.2857142857142857
107,WAS2020-12-29,34.0,9.0,19.0,5.0,12.0,0.4166666666666667,11.0,11.0,1.0,5.0,6.0,6.0,4.0,3.0,0.0,0.0,7.0,9.0,1.0,0.4736842105263157
108,ATL2020-12-30,37.0,10.0,24.0,3.0,12.0,0.25,14.0,14.0,7.0,7.0,14.0,6.0,3.0,0.0,0.0,0.0,7.0,9.0,1.0,0.4166666666666667
109,BOS2020-12-30,30.0,12.0,22.0,2.0,8.0,0.25,4.0,4.0,3.0,8.0,11.0,6.0,3.0,2.0,5.0,0.0,5.0,2.0,1.0,0.5454545454545454
110,BKN2020-12-30,43.0,14.0,22.0,5.0,10.0,0.5,10.0,11.0,1.0,7.0,8.0,6.0,2.0,1.0,0.0,0.0,9.0,7.0,0.9090909090909092,0.6363636363636364
111,CHA2020-12-30,20.0,8.0,18.0,2.0,5.0,0.4,2.0,2.0,3.0,8.0,11.0,4.0,9.0,0.0,3.0,2.0,9.0,1.0,1.0,0.4444444444444444
112,DAL2020-12-30,30.0,10.0,23.0,4.0,8.0,0.5,6.0,11.0,4.0,7.0,11.0,7.0,3.0,4.0,2.0,3.0,1.0,9.0,0.5454545454545454,0.4347826086956521
